star,constellation,right_ascension,declination,apparent_magnitude,distance,spectral_type,mass,radius,discovery_year

SDSS J000013.54+255418.6[de],Pegasus,0h 0m 13.54s,255418,,46.1,T4.5,48,0.99,2004

2MASS J00040288-6410358,Tucana,0h 4m 2.88s,641035.8,,192,L1,19,1.63,

LHS 102BC,Phoenix,0h 4m 34.84s,40445.8,,,L5,,,2002

2MASS J00242463-0158201,Pisces,0h 24m 24.63s,15820.1,,37.7,M9.5,79,1.09,

2MASS J00250365+4759191AB,Cassiopeia,0h 25m 3.65s,475919.1,,143,L4,,,

2MASS J00274197+0503417,Pisces,0h 27m 41.97s,5341.7,,236,M9.5,31,1.44,

2MASS J00275592+2219328,Andromeda,0h 27m 55.92s,221932.8,,46.9,M8,,,

2MASSW J0030300-145033,Cetus,0h 30m 30.13s,145033.3,,87.2,L7,54,0.98,n/a

2MASS J00332386-1521309[de],Cetus,0h 33m 23.86s,1521,,131,L1-L4,29,1.43,n/a

2MASS J00345157+0523050,Pisces,0h 34m 51.57s,5235,,31,T6.5,42,0.94,n/a

2MASS 0036+1821,Pisces,0h 36m 16.17s,182110.4,12.47,28.6,L3.5,42,0.94,2000

2MASSW J0045214+163445,Pisces,0h 45m 21.43s,163444.6,,57,L2,23,1.62,n/a

WISEP J004701.06+680352.1[fr],Cassiopeia,0h 47m 0.38s,68354.3,,40,L7.5p,12,1.3,n/a

2MASS J00501994-3322402[de],Sculptor,0h 50m 19.94s,332240.2,,34,T7,40,0.94,n/a

2MASS J00034227-2822410,Sculptor,0h 55m 39.72s,282242,,,M7.5,,,n/a

2MASS J00584253-0651239[de],Cetus,0h 58m 42.53s,65123.9,,96,L0,29,1.43,n/a

CFBDS J005910.90011401.3,Cetus,0h 59m 10.83s,1141.3,18.08,30,T8.5,23,,2013

2MASSI J0103320+193536,Pisces,1h 3m 32.03s,1935,,70,L6,52,0.98,

SDSSp J010752.33+004156.1[de],Cetus,1h 7m 52.42s,04156.3,,51,L8,52,0.98,

2MASSI J0117474-340325[de],Sculptor,1h 17m 47.48s,34325.8,,163,L2:,20,1.62,

2MASS J01415823-4633574[de],Phoenix,1h 41m 58.23s,463357.4,,130,L0,20,1.61,

SDSS J015141.69+124429.6,,1h 51m 41.55s,124430,,70,T1,47,0.97,

DENIS-P J020529.0115925A,Cetus,2h 5m 29.401s,115929.67,,65,L5.5,,,1997

DENIS-P J020529.0115925B,Cetus,2h 5m 29.401s,115929.67,,65,L8,,,1997

DENIS-P J020529.0115925C,Cetus,2h 5m 29.401s,115929.67,,65,T0,,,1997

SDSS J020742.48+000056.2[de],Cetus,2h 7m 42.84s,0056.4,,111,T4.5,47,0.97,n/a

2MASS J02103857-3015313,,2h 10m 38.57s,301531.3,,101,L0,15,1.53,n/a

2MASS J02340093-6442068,,2h 34m 0.93s,64426.8,,155,L0,20,1.62,n/a

2MASS J02411151-0326587[de],Cetus,2h 41m 11.51s,32658.7,,152,L0,27,1.41,n/a

2MASS J024313712453298,Fornax,2h 43m 13.71s,245329.8,,35,T6,33,0.99,2002

LP 771-21,,2h 48m 41s,165121.6,,53,M8,78,1.08,n/a

2MASS J02511327+0047364,,2h 51m 13.27s,04736.4,,,M8,,,n/a

Teegarden's star,Aries,2h 53m 0.84s,+165253.2,15.40,12.578,M7,80,1.27,2003

2MASS J02535980+3206373,,2h 53m 59.8s,32637.3,,184,M7,65,1.9,n/a

WISE J0254+0223,Cetus,2h 54m 9.45s,22359.1,16.01,24,T8,65,1.9,n/a

DEN 0255-4700,Eridanus,2h 55m 3.57s,47050.9,22.92,16.2,L8,80,0.97,2006

2MASS J03185403-3421292[de],Fornax,3h 18m 54.03s,342129.2,,45,L7,49,0.97,2008

2MASS J03205965+1854233,,3h 20m 59.65s,185423.3,,47,M8,88,1.15,n/a

2MASS J03231002-4631237,,3h 23m 10.02s,463123.7,,192,L0,23,1.66,n/a

SDSS J032553.17+042540.1,,3h 25m 53.22s,42540.6,,59,T5.5,45,0.95,n/a

2MASS J03264225-2102057[de],Eridanus,3h 26m 42.25s,2125.7,,80,L5,18,1.3,2003

2MASS J03284265+2302051[de],Taurus,3h 28m 42.65s,2325.1,,98,L8,54,0.98,2000

2MASS J03341218-4953322,,3h 34m 12.18s,495332.2,,27.0,M9,73,1.04,n/a

LP 944-20,Fornax,3h 39m 35.22s,352544,10.725,20.9,M9,73,1.43,n/a

2MASP J0345432+254023,,3h 45m 43.16s,254023.3,,88,L0,74,1.05,1997

Teide 1,Taurus,3h 47m 18s,+242231,,380,M8,55,3.78,1995

2MASS J03510004-0052452,,3h 51m 0.04s,05245.2,,48,M8,102,1.27,n/a

2MASS J03552337+1133437,Taurus,3h 55m 23.37s,113343.7,14.05,29.8,L5,20,1.32,2006

DENIS-P J035726.9-441730[de],Horologium,3h 57m 26.95s,441730.5,14.37,130,L0,,,n/a

2MASS J041519540935066,Eridanus,4h 15m 19.54s,9356.6,15.7,18.6,T8,30,0.95,2002

SDSSp J042348.57-041403.5[de],Eridanus,4h 23m 48.58s,4143.5,14.5,50,L7.5,,,2002

2MASS J04285096-2253227[de],Eridanus,4h 28m 50.96s,225322.7,,85,L0.5,80,1.09,2003

2MASS J04351612-1606574,,4h 35m 16.13s,16657.5,,34,M7,100,1.26,n/a

2MASS J04362788-4114465,,4h 36m 27.88s,411446.5,,142,M8,39,1.97,n/a

2MASS J04390101-2353083[de],Eridanus,4h 39m 1.01s,23538.3,,29.5,L6.5,48,0.97,2003
